classify,year,rate,GDP,EconomicGrowth,Households,Houses,HousingSupply,HomePrice
09~13,2009,2.5,1205347.4,0.8,3501,3258,93.1,100
09~13,2009,2.45,1205347.7,1.0,3501,3258,93.1,100
09~13,2009,2.55,1205347.8,0.8,3501,3258,93.1,100
09~13,2010,2.25,1322611.1,6.7,3647,3442,94.4,101
09~13,2010,2.2,1322611.3,6.2,3647,3442,94.4,101
09~13,2010,2.3,1322611.2,6.8,3647,3442,94.4,101
09~13,2011,2.75,1388937.4,3.2,3673,3478,94.7,100
09~13,2011,2.7,1388937.2,3.1,3673,3478,94.7,100
09~13,2011,2.8,1388937.2,3.7,3673,3478,94.7,100
09~13,2012,3.0,1440111.1,2.8,3701,3510,94.8,97
09~13,2012,2.95,1440111.2,2.2,3701,3510,94.8,97
09~13,2012,3.05,1440111.4,2.4,3701,3510,94.8,97
09~13,2013,2.5,1500819.6,2.9,3728,3546,95.1,101
09~13,2013,2.45,1501819.1,3.3,3728,3546,95.1,101
09~13,2013,2.55,1500819.1,3.2,3728,3546,95.1,101
14~19,2014,2.25,1566928.9,2.9,3756,3608,96.0,98
14~19,2014,2.2,1564928.9,3.3,3756,3608,96.0,98
14~19,2014,2.3,1562928.9,3.2,3756,3608,96.0,98
14~19,2015,1.75,1658020.1,3.0,3785,3633,96.0,102
14~19,2015,1.7,1658020.2,2.9,3785,3633,96.0,102
14~19,2015,1.8,1658020.4,2.8,3785,3633,96.0,102
14~19,2016,1.25,1739779.6,2.9,3785,3644,96.3,97
14~19,2016,1.2,1740779.2,3.2,3785,3644,96.3,97
14~19,2016,1.3,1740779.6,2.9,3785,3644,96.3,97
14~19,2017,1.5,1833698.1,3.2,3813,3672,96.3,101
14~19,2017,1.45,1835698.5,3.2,3813,3672,96.3,101
14~19,2017,1.55,1835698.2,3.2,3813,3672,96.3,101
14~19,2018,1.75,1897192.6,2.9,3840,3682,95.9,107
14~19,2018,1.7,1898192.1,3.1,3840,3682,95.9,107
14~19,2018,1.8,1898192.6,2.9,3840,3682,95.9,107
14~19,2019,1.5,1919498.5,2.2,3896,3739,96.0,108
14~19,2019,1.45,1924498.9,2.1,3896,3739,96.0,108
14~19,2019,1.55,1924498.1,2.2,3896,3739,96.0,108
