classify,year,rate
09~13,2009,2.5
09~13,2009,2.48
09~13,2009,2.52
09~13,2010,2.25
09~13,2010,2.23
09~13,2010,2.27
09~13,2011,2.75
09~13,2011,2.73
09~13,2011,2.77
09~13,2012,3.0
09~13,2012,2.98
09~13,2012,3.02
09~13,2013,2.5
09~13,2013,2.48
09~13,2013,2.52
14~19,2014,2.25
14~19,2014,2.23
14~19,2014,2.27
14~19,2015,1.75
14~19,2015,1.73
14~19,2015,1.77
14~19,2016,1.25
14~19,2016,1.23
14~19,2016,1.27
14~19,2017,1.5
14~19,2017,1.48
14~19,2017,1.52
14~19,2018,1.75
14~19,2018,1.73
14~19,2018,1.77
14~19,2019,1.5
14~19,2019,1.48
14~19,2019,1.52
